ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID
HSA-MIR-151A-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-151A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-151A-5P,miRNA,ERLOTINIB,DB00530,176870
HSA-MIR-151A-5P,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907
HSA-MIR-151A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-152-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-152-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-152-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-152-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-152-3P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-152-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-152-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-152-3P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-152-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-152-3P,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907
HSA-MIR-152-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-153-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-153-3P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-153-3P,miRNA,NAVITOCLAX,DB12340,24978538
HSA-MIR-153-3P,miRNA,ARSENIC TRIOXIDE,DB01169,261004
HSA-MIR-153-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-153-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-153-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-153-3P,miRNA,CABAZITAXEL,DB06772,9854073
HSA-MIR-153-3P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-153-3P,miRNA,DACARBAZINE,DB00851,5351166
HSA-MIR-1538,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1538,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1539,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1539,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1539,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-154-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-154-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-154-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-155-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-155-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-155-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-155-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-155-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-155-5P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-155-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-155-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-155-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-155-5P,miRNA,ERLOTINIB,DB00530,176870
HSA-MIR-155-5P,miRNA,"N-[(2R)-2,3-DIHYDROXYPROPOXY]-3,4-DIFLUORO-2-[(2-FLUORO-4-IODOPHENYL)AMINO]BENZAMIDE",NA,9826528
HSA-MIR-155-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-155-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-155-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-155-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-155-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-155-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-155-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-155-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-155-5P,miRNA,BUFALIN,NA,9547215
HSA-MIR-155-5P,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-155-5P,miRNA,ARSENIC TRIOXIDE,DB01169,261004
HSA-MIR-155-5P,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-155-5P,miRNA,DECITABINE,DB01262,451668
HSA-MIR-155-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-155-5P,miRNA,SCHIZANDRIN A,NA,23915
HSA-MIR-155-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-155-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-15A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-15A-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-15A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-15A-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-15A-5P,miRNA,MELPHALAN,DB01042,460612
HSA-MIR-15A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-15A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-15A-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-15A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-15A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-15A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-15A-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-15A-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-15A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-15A-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-15A-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-15A-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-15A-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-15A-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-15A-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-15A-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-15A-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-15A-5P,miRNA,PIRARUBICIN,DB11616,11296583
HSA-MIR-15B-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-15B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-15B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-15B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-15B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-15B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-15B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-15B-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-15B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-15B-5P,miRNA,AZACITIDINE,DB00928,9444
HSA-MIR-15B-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-15B-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-15B-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-15B-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-15B-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-15B-5P,miRNA,APITOLISIB,DB12180,25254071
HSA-MIR-16-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-16-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-16-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-16-5P,miRNA,GENISTEIN,DB01645,5280961
HSA-MIR-16-5P,miRNA,NUTLIN-3,DB17039,216345
HSA-MIR-16-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-16-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-16-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-16-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-16-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-16-5P,miRNA,MELPHALAN,DB01042,460612
HSA-MIR-16-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-16-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-16-5P,miRNA,PEMETREXED,DB00642,446556
HSA-MIR-16-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-16-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-16-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-16-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-16-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-16-5P,miRNA,LAPATINIB,DB01259,208908
HSA-MIR-16-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-16-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-16-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-16-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-16-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-16-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-181A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-181A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-181A-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-181A-5P,miRNA,FLUDARABINE,DB01073,657237
HSA-MIR-181A-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-181A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-181A-5P,miRNA,CYTARABINE,DB00987,6253
HSA-MIR-181A-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-181A-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-181A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-181A-5P,miRNA,TRICHOSTATIN A,DB04297,444732
HSA-MIR-181A-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-181A-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-181A-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-181A-5P,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-181A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-181A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-181A-5P,miRNA,CAMPTOTHECIN,DB04690,24360
HSA-MIR-181A-5P,miRNA,TAXANE,NA,9548828
HSA-MIR-181A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-181A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-181A-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-181A-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-181A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-181A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-181A-5P,miRNA,AMG51,NA,11858109
HSA-MIR-181A-5P,miRNA,GSK1070916,NA,46885626
HSA-MIR-181A-5P,miRNA,XL765,DB05241,49867926
HSA-MIR-181A-5P,miRNA,PALBOCICLIB,DB09073,5330286
HSA-MIR-181A-5P,miRNA,TOPOTECAN,DB01030,60699
HSA-MIR-181A-5P,miRNA,CARMUSTINE,DB00262,2578
HSA-MIR-181A-5P,miRNA,SIROLIMUS,DB00877,5284616
HSA-MIR-181A-5P,miRNA,METFORMIN,DB00331,4091
HSA-MIR-181A-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-181A-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-181A-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-181A-5P,miRNA,PREDNISONE,DB00635,5865
HSA-MIR-181B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-181B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-181B-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-181B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-181B-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-181B-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-181B-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-181B-5P,miRNA,FLUDARABINE,DB01073,657237
HSA-MIR-181B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-181B-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-181B-5P,miRNA,CYTARABINE,DB00987,6253
HSA-MIR-181B-5P,miRNA,TENIPOSIDE,DB00444,452548
HSA-MIR-181B-5P,miRNA,TAXANE,NA,9548828
HSA-MIR-181B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-181B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-181B-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-181B-5P,miRNA,MITOXANTRONE,DB01204,4212
HSA-MIR-181B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-181B-5P,miRNA,PALBOCICLIB,DB09073,5330286
HSA-MIR-181B-5P,miRNA,RUXOLITINIB,DB08877,25126798
HSA-MIR-181B-5P,miRNA,TOPOTECAN,DB01030,60699
HSA-MIR-181B-5P,miRNA,METFORMIN,DB00331,4091
HSA-MIR-181B-5P,miRNA,SIROLIMUS,DB00877,5284616
HSA-MIR-181B-5P,miRNA,CELASTROL,NA,12302620
HSA-MIR-181B-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-181B-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-181C-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-181C-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-181C-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-181C-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-181C-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-181C-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-181C-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-181C-5P,miRNA,CURCUMIN,DB11672,969516
HSA-MIR-181C-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-181C-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-181C-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-181C-5P,miRNA,CRIZOTINIB,DB08865,11626560
HSA-MIR-181C-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-181C-5P,miRNA,RUXOLITINIB,DB08877,25126798
HSA-MIR-1825,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-1825,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1825,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1825,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1825,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1825,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-1825,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907
HSA-MIR-1825,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1825,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-1825,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-183-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-183-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-183-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-183-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-183-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-183-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-183-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-183-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-183-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-183-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-183-5P,miRNA,RUXOLITINIB,DB08877,25126798
HSA-MIR-183-5P,miRNA,ONVANSERTIB,DB15110,49792852
HSA-MIR-184,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-184,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-184,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-184,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-184,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-184,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-184,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-184,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-184,miRNA,PANOBINOSTAT,DB06603,6918837
HSA-MIR-184,miRNA,OSIMERTINIB,DB09330,71496458
HSA-MIR-185-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-185-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-185-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-185-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-185-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-185-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-185-5P,miRNA,PLX-4720,DB06999,24180719
HSA-MIR-185-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-185-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-185-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-185-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-185-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-186-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-186-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-186-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-186-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-186-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-186-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-186-5P,miRNA,METHOTREXATE,DB00563,126941
HSA-MIR-186-5P,miRNA,DAUNORUBICIN,DB00694,30323
HSA-MIR-186-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-186-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-186-5P,miRNA,DECITABINE,DB01262,451668
HSA-MIR-186-5P,miRNA,PALBOCICLIB,DB09073,5330286
HSA-MIR-186-5P,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-MIR-186-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-187-3P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-187-3P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-187-3P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-187-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-187-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-187-3P,miRNA,CYCLOPHOSPHAMIDE,DB00531,2907
HSA-MIR-187-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-187-3P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-187-3P,miRNA,PREDNISONE,DB00635,5865
HSA-MIR-187-3P,miRNA,VINBLASTINE,DB00570,442111
HSA-MIR-187-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-187-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-187-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-187-3P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-188-3P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-188-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-188-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-188-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-188-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-188-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-188-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-188-5P,miRNA,ETOPOSIDE,DB00773,36462
HSA-MIR-188-5P,miRNA,PLATINUM,DB12257,23939
HSA-MIR-188-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-188-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-188-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-18A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-18A-5P,miRNA,RIBAVIRIN,DB00811,37542
HSA-MIR-18A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-18A-5P,miRNA,CYCLOPAMINE,NA,442972
HSA-MIR-18A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-18A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-18A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-18A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-18A-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-18A-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18A-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-18A-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-18A-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-18A-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-18A-5P,miRNA,TIVANTINIB,DB12200,11494412
HSA-MIR-18A-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-18A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-MIR-18B-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-18B-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-18B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-18B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-18B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-18B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-18B-5P,miRNA,SORAFENIB,DB00398,216239
HSA-MIR-18B-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-18B-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-18B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-18B-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-18B-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1908-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1908-5P,miRNA,CARBOPLATIN,DB00958,38904
HSA-MIR-1908-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1908-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-1908-5P,miRNA,MITOMYCIN C,DB00305,5746
HSA-MIR-1908-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1908-5P,miRNA,VINORELBINE,DB00361,44424639
HSA-MIR-1908-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1908-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1908-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1908-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-1908-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1908-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1908-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1908-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1909-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1909-3P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1909-3P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1909-3P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1909-3P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1909-3P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1909-3P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1909-3P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1909-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-190A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-190A-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-MIR-190A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-190A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-190A-5P,miRNA,VINCRISTINE,DB00541,5978
HSA-MIR-190A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-190A-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-190A-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-190A-5P,miRNA,SUNITINIB,DB01268,5329102
HSA-MIR-190A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-190B-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-190B-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-190B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-191-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-191-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-191-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-191-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-MIR-191-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-191-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-191-5P,miRNA,DEXAMETHASONE,DB01234,5743
HSA-MIR-191-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-191-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-191-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-191-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-191-5P,miRNA,PANOBINOSTAT,DB06603,6918837
HSA-MIR-191-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-MIR-1910-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-MIR-1910-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1910-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-MIR-1910-5P,miRNA,CURCUMIN,DB11672,969516
HSA-MIR-1910-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1910-5P,miRNA,PONATINIB,DB08901,24826799
HSA-MIR-1910-5P,miRNA,IMATINIB,DB00619,5291
HSA-MIR-1910-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-MIR-1910-5P,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1910-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-MIR-1911-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-MIR-1913,miRNA,FLUOROURACIL,DB00544,3385
HSA-MIR-1913,miRNA,GEMCITABINE,DB00441,60750
HSA-MIR-1913,miRNA,CISPLATIN,DB00515,5460033
HSA-MIR-1913,miRNA,CERITINIB,DB09063,57379345
HSA-MIR-1914-5P,miRNA,FULVESTRANT,DB00947,17756771
HSA-MIR-1914-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-MIR-1914-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-MIR-1914-5P,miRNA,SORAFENIB,DB00398,216239
